DRA Office,ID,State,Asian 2010 Total,Asian 2010 VAP,Asian 2019 CVAP,Asian 2019 Total,Asian 2020 ACSTot,Asian 2020 CVAP,Asian 2020 Total,Asian 2020 TotalAdj,Asian 2020 VAP,AsianAlone 2019 CVAP,AsianAlone 2020 ACSTot,AsianAlone 2020 CVAP,AsianAlone 2020 NHVAP,Black 2010 Total,Black 2010 VAP,Black 2019 CVAP,Black 2019 Total,Black 2020 ACSTot,Black 2020 CVAP,Black 2020 Total,Black 2020 TotalAdj,Black 2020 VAP,BlackAlone 2010 Total,BlackAlone 2010 VAP,BlackAlone 2019 CVAP,BlackAlone 2019 Total,BlackAlone 2020 ACSTot,BlackAlone 2020 CVAP,BlackAlone 2020 NHVAP,Dem 2012 Pres,Dem 2012-2020 Comp,Dem 2014 AG,Dem 2014 Gov,Dem 2014 Sen,Dem 2016 AG,Dem 2016 Gov,Dem 2016 LtG,Dem 2016 Pres,Dem 2016 Sen,Dem 2016 SenRoff,Dem 2016-2020 Comp,Dem 2016-2021 Comp,Dem 2017 AG,Dem 2017 Gov,Dem 2017 LtG,Dem 2017 SenSp,Dem 2018 AG,Dem 2018 Gov,Dem 2018 LtG,Dem 2018 Sen,Dem 2018 SenRoff,Dem 2018 SenSp,Dem 2019 AG,Dem 2019 Gov,Dem 2019 GovRoff,Dem 2019 LtG,Dem 2020 AG,Dem 2020 Aud,Dem 2020 Gov,Dem 2020 LtG,Dem 2020 Pres,Dem 2020 Sen,Dem 2020 Sen,Dem 2020 SenSp,Dem 2020 SoS,Dem 2020 Tres,Dem 2021 AG,Dem 2021 Gov,Dem 2021 LtG,Dem 2021 SenRoff,Dem 2021 SenSpRoff,Dem_2018_AG,Dem_2018_Sen,Hispanic 2010 Total,Hispanic 2010 VAP,Hispanic 2019 CVAP,Hispanic 2019 Total,Hispanic 2020 ACSTot,Hispanic 2020 CVAP,Hispanic 2020 NHVAP,Hispanic 2020 Total,Hispanic 2020 TotalAdj,Hispanic 2020 VAP,Label,Native 2010 Total,Native 2010 VAP,Native 2019 CVAP,Native 2019 Total,Native 2020 ACSTot,Native 2020 CVAP,Native 2020 Total,Native 2020 TotalAdj,Native 2020 VAP,NativeAlone 2010 Total,NativeAlone 2010 VAP,NativeAlone 2019 CVAP,NativeAlone 2019 Total,NativeAlone 2020 ACSTot,NativeAlone 2020 CVAP,NativeAlone 2020 NHVAP,OtherAlone 2019 CVAP,OtherAlone 2020 ACSTot,OtherAlone 2020 CVAP,OtherAlone 2020 NHVAP,Pacific 2010 Total,Pacific 2010 VAP,Pacific 2019 CVAP,Pacific 2019 Total,Pacific 2020 ACSTot,Pacific 2020 CVAP,Pacific 2020 Total,Pacific 2020 TotalAdj,Pacific 2020 VAP,PacificAlone 2020 ACSTot,PacificAlone 2020 CVAP,PacificAlone 2020 NHVAP,Rep 2012 Pres,Rep 2012-2020 Comp,Rep 2014 AG,Rep 2014 Gov,Rep 2014 Sen,Rep 2016 AG,Rep 2016 Gov,Rep 2016 LtG,Rep 2016 Pres,Rep 2016 Sen,Rep 2016 SenRoff,Rep 2016-2020 Comp,Rep 2016-2021 Comp,Rep 2017 AG,Rep 2017 Gov,Rep 2017 LtG,Rep 2017 SenSp,Rep 2018 AG,Rep 2018 Gov,Rep 2018 LtG,Rep 2018 Sen,Rep 2018 SenRoff,Rep 2018 SenSp,Rep 2019 AG,Rep 2019 Gov,Rep 2019 GovRoff,Rep 2019 LtG,Rep 2020 AG,Rep 2020 Aud,Rep 2020 Gov,Rep 2020 LtG,Rep 2020 Pres,Rep 2020 Sen,Rep 2020 Sen,Rep 2020 SenSp,Rep 2020 SoS,Rep 2020 Tres,Rep 2021 AG,Rep 2021 Gov,Rep 2021 LtG,Rep 2021 SenRoff,Rep 2021 SenSpRoff,Rep_2018_AG,Rep_2018_Sen,Total 2010 Total,Total 2010 VAP,Total 2012 Pres,Total 2012-2020 Comp,Total 2014 AG,Total 2014 Gov,Total 2014 Sen,Total 2016 AG,Total 2016 Gov,Total 2016 LtG,Total 2016 Pres,Total 2016 Sen,Total 2016 SenRoff,Total 2016-2020 Comp,Total 2016-2021 Comp,Total 2017 AG,Total 2017 Gov,Total 2017 LtG,Total 2017 SenSp,Total 2018 AG,Total 2018 Gov,Total 2018 LtG,Total 2018 Sen,Total 2018 SenRoff,Total 2018 SenSp,Total 2019 AG,Total 2019 CVAP,Total 2019 Gov,Total 2019 GovRoff,Total 2019 LtG,Total 2019 Total,Total 2020 ACSTot,Total 2020 AG,Total 2020 Aud,Total 2020 CVAP,Total 2020 Gov,Total 2020 LtG,Total 2020 NHVAP,Total 2020 Pres,Total 2020 Sen,Total 2020 Sen,Total 2020 SenSp,Total 2020 SoS,Total 2020 Total,Total 2020 TotalAdj,Total 2020 Tres,Total 2020 VAP,Total 2021 AG,Total 2021 Gov,Total 2021 LtG,Total 2021 SenRoff,Total 2021 SenSpRoff,Total_2018_AG,Total_2018_Sen,TwoOrMore 2019 CVAP,TwoOrMore 2020 ACSTot,TwoOrMore 2020 NHVAP,White 2010 Total,White 2010 VAP,White 2019 CVAP,White 2019 Total,White 2020 ACSTot,White 2020 CVAP,White 2020 NHVAP,White 2020 Total,White 2020 TotalAdj,White 2020 VAP
Senator,N/A,AK,50402,33779,27362,61128,64669,29103,61460,,43407,23368,45855,0,34290,33150,20156,19903,35935,37226,20370,35454,,23665,0,0,16732,0,22720,0,16566,,,,,,,,,116454,36200,,135645,,,,,,,125739,,,,,,,,,,,,,153778,146068,,,,,,,,,,,,39249,24437,30359,51870,53059,31283,33441,49824,,33441,1,138312,88232,91076,147196,146557,90039,160287,,105737,0,0,72725,0,103843,0,75017,4404,2953,0,3308,11154,6230,5376,14450,16627,5596,18668,,11184,10306,0,8122,,,,,,,,,163387,138149,,171369,,,,,,,145631,,,,,,,,,,,,,189951,,191112,,,,,,,,,,,710231,522853,,,,,,,,,318608,311441,,324817,,,,,,,283134,,,,,,531065,,,,737068,736990,,,532539,,,554003,357569,353986,,,,733391,,,554003,,,,,,,,0,58275,42679,455320,356987,353456,446897,439979,351992,340580,421758,,340580
Senator,N/A,AL,67036,47973,37547,86490,89031,39801,102777,,74909,30538,67317,0,59997,1281064,917292,979823,1340976,1349127,987332,1364736,,1014372,0,0,967718,0,1292950,0,976732,,,,,,,,,729607,748787,,758890,,,,,673889,702858,694495,660013,,,,,,,,,,,,849624,,920478,,,,,,,,,,,185601,118335,71948,208626,212951,76761,166856,264047,,166856,28,57118,42394,41683,61168,61655,43145,131030,,98114,0,0,18290,0,21297,0,18137,4537,9779,0,9084,5914,3798,1099,5243,5155,1316,7479,,4890,1887,0,1872,,,,,,,,,1318629,1335470,,1137370,,,,,651983,1004438,1022457,1044941,,,,,,,,,,,,1441170,1392076,,,,,,,,,,,,4779670,3647238,,,,,,,,,2123824,2087889,,1915521,,,,,1348749,1708437,1719589,1705977,,,,,3685099,,,,4876250,4893186,,,3709181,,,3917166,2323282,,2316445,,,5024279,,,3917166,,,,,,,,0,94858,119944,3204391,2530757,2550935,3194929,3192147,2558844,2564544,3171351,,2564544
Senator,N/A,AR,44922,31499,24438,57895,59949,25166,68558,,48739,21008,45389,0,39675,468670,321058,339808,489192,493883,342667,495968,,351878,0,0,332733,0,455485,0,331235,,,,,,,,,380445,400551,,365099,,,,,,315099,283218,293535,,,,,,,,,,,,423932,,399390,,,,,,,,,,,186036,111088,78496,224130,229629,83519,162002,256847,,162002,10,47588,33872,39218,59120,61280,40924,115614,,84912,0,0,13740,0,15912,0,15691,2671,6974,0,5260,7849,4566,1698,11465,12733,1845,17874,,10293,10258,0,8250,,,,,,,,,684744,661864,,671817,,,,,,549668,582406,570433,,,,,,,,,,,,760647,793871,,,,,,,,,,,,2915830,2204388,,,,,,,,,1130492,1107344,,1066871,,,,,,889419,891509,888735,,,,,2207250,,,,2999370,3011873,,,2219465,,,2312273,1219069,,1193261,,,3011524,,,2312273,,,,,,,,0,93127,96388,2173456,1708895,1722679,2172453,2155099,1724663,1653772,2063550,,1653772
Senator,N/A,AZ,230907,163591,142792,310727,326446,150415,351132,,257630,119714,233048,0,199796,318665,205572,236644,405266,425315,247682,446394,,302176,0,0,213094,0,305973,0,236894,,,,,,,,,1161167,1031245,,1308739,,,,,,1120726,994341,,1191100,,,,,,,,,,,1672143,,1716467,,,,,,,,,,,1895149,1191203,1140220,2208663,2260690,1196053,1489617,2192253,,1489617,45,353386,231294,222558,399151,405281,226447,453560,,319230,0,0,195928,0,272294,0,189473,14706,17453,0,23269,25106,15895,8654,32339,33447,8893,37212,,24481,13323,0,10590,,,,,,,,,1252401,1359267,,1369080,,,,,,1201398,1330863,,1135200,,,,,,,,,,,1661686,1637661,,,,,,,,,,,,6392017,4763003,,,,,,,,,2604657,2547060,,2732347,,,,,,2326367,2379369,,2387543,,,,4920370,,,,7050299,7174064,,,5050109,,,5541976,3385294,,3354128,,,7151502,,,5541976,,,,,,,,0,187561,174243,3695647,3017895,3158248,3857007,3883722,3206822,3218094,3816547,,3218094
Senator,N/A,CA,5556525,4224498,3740016,6551732,6764118,3825385,7045163,7035269,5502723,3496827,5743983,0,4906293,2681915,1889129,1813535,2766478,2806900,1823059,2825293,2818916,2098032,0,0,1681482,0,2142371,0,1694380,,,,,,,,,8752066,,,8838212,,,,,,7789961,7720625,,,,,,,,,,,,,11110493,,,,,,,,,,,,,14012761,9256541,7592665,15327688,15380929,7861111,11083294,15579652,15571928,11083294,1378,723093,500485,265011,762733,806874,262222,1409609,1404805,1044783,0,0,112230,0,131724,0,122657,138357,124148,0,162339,286128,190183,98078,323042,334713,96893,337617,330616,238128,135524,0,109178,,,,,,,,,4483301,,,4919481,,,,,,4465386,4742586,,,,,,,,,,,,,6006428,,,,,,,,,,,,,37249102,27954062,,,,,,,,,14058363,,,14029394,,,,,,12255347,12463211,,,,,,25494326,,,,39283497,39346023,,,25774732,,,30827105,17497060,,,,,39538223,39523437,,30827105,,,,,,,,0,1322199,1076067,14954681,12408286,11871035,14605312,14365145,11778420,11672897,13714587,13709273,11672897
Senator,N/A,CO,185578,127913,116174,243556,252624,122275,285784,284799,205838,95164,178265,0,155965,249750,164198,174357,300065,309449,180375,318179,317206,219101,0,0,155455,0,224190,0,168127,,,,,,,,,1338870,1370710,,1479049,,,,,,1285464,1348888,,,,,,,,,,,,,1804352,,1731114,,,,,,,,,,,1038664,664439,632726,1208172,1231126,664319,864196,1263390,1263390,864196,36,107826,73470,51161,120639,125039,53537,207787,185371,151224,0,0,24391,0,29337,0,26942,11387,12208,0,21838,15199,9355,5368,21167,22372,5225,24714,23019,16350,7794,0,6646,,,,,,,,,1202484,1215318,,1235919,,,,,,1124757,1080801,,,,,,,,,,,,,1364607,1429492,,,,,,,,,,,,5028425,3802817,,,,,,,,,2780247,2743029,,2834747,,,,,,2491954,2525062,,,,,,4063880,,,,5610349,5684926,,,4154043,,,4509576,3256980,,3235790,,,5773714,5773714,,4509576,,,,,,,,0,164556,170198,3520122,2809842,3074989,3818321,3837450,3119960,3095664,3760663,3760663,3095664
Senator,N/A,CT,157088,111716,85344,191505,196347,89683,205693,205666,150724,78468,161787,0,132859,405600,280916,261265,447432,456214,267226,467416,464809,339200,0,0,246601,0,352036,0,279080,,,,,,,,,897417,1008527,,870082,,,,,,715248,694413,,825464,,,,,,,,,,,1080710,,,,,,,,,,,,,479087,318947,309879,574240,587212,320287,430695,623293,623145,430695,15,31140,21269,15008,37477,35973,14931,60910,60888,44697,0,0,4083,0,4882,0,4967,6254,12802,0,19450,5397,3765,759,5775,6148,695,5971,5968,4294,742,0,757,,,,,,,,,673109,552577,,627920,,,,,,633280,650038,,545655,,,,,,,,,,,714608,,,,,,,,,,,,,3574097,2757082,,,,,,,,,1644655,1596043,,1533374,,,,,,1362885,1406603,,1386663,,,,2605395,,,,3575074,3570549,,,2615899,,,2869227,1823627,,,,,3605944,3603566,,2869227,,,,,,,,0,93146,87626,2546262,2046548,1930357,2392013,2357942,1919988,1913793,2279232,2278660,1913793
Senator,N/A,DE,33701,24508,18148,43398,45744,19969,50969,,37878,16471,38249,0,33202,205923,143010,155372,229730,234353,159695,244944,,178357,0,0,150694,0,208126,0,161576,,,,,,,248404,248141,235154,,,258570,,,,,,,,,,,,,,,,,,292903,285638,296268,291804,,,,,,,,,,218351,217385,73221,46136,37409,88364,91350,40332,67906,104290,,67906,1,9899,6950,5670,9976,9810,5705,21392,,15627,0,0,2566,0,2836,0,2090,1785,3504,0,3024,1216,795,292,1379,1657,257,1547,,1057,290,0,240,,,,,,,166852,169291,185062,,,172762,,,,,,,,,,,,,,,,,,190312,197343,200603,,186054,,,,,,,,,137730,137127,897934,692169,,,,,,,425784,417432,441052,,,440514,,,,,,,,,,,,,710270,,,,957248,967679,,,723117,492635,482981,783543,504010,490935,,,,989948,,,783543,,,,,,356081,362592,0,28088,26279,586752,477636,492833,596497,595236,496682,489226,579851,,489226
Senator,N/A,FL,572425,422360,371945,734880,763613,389713,843005,,637361,327780,579476,0,510811,3196035,2227896,2231442,3653866,3735264,2291519,3703952,,2694907,0,0,2168640,0,3231108,0,2344909,,,,,,,,,4499698,4117590,,4294081,,,,,,3742269,4041304,,4084392,,,,,,,,,,,5296948,,,,,,,,,,,,,4205242,3104285,2982025,5346684,5468826,3122148,4332685,5697240,,4332685,406,162382,118468,91954,174068,178120,93707,384485,,294420,0,0,34518,0,39070,0,34541,35965,90892,0,96170,39857,28282,7943,41216,41386,8387,44454,,31873,10889,0,9027,,,,,,,,,4615395,4832194,,4584404,,,,,,4230915,4074938,,4097270,,,,,,,,,,,5668683,,,,,,,,,,,,,18770037,14774683,,,,,,,,,9489183,9314788,,9035150,,,,,,8118396,8216768,,8181658,,,,14987523,,,,20901636,21216924,,,15296876,,,17339232,11090724,,,,,21538187,,,17339232,,,,,,,,0,465441,534389,10876642,9052055,9274188,11266347,11331222,9361771,9476700,11100503,,9476700
Senator,N/A,GA,365446,262645,218473,488952,515434,230170,565644,,416584,198823,430473,0,367605,3054071,2140007,2399900,3436530,3499486,2450949,3538146,,2607986,0,0,2360946,0,3275581,0,2462933,,,,,,,,,1877963,1599726,,2018308,,,,,,1880807,1923685,1828566,,,,,,,,,,,,2474507,,2374519,2378312,,,,,,2269923,2289113,,,853681,538998,344087,992394,1013057,377593,742918,1123457,,742918,105,84024,58967,47814,101415,107995,50860,214041,,157885,0,0,15900,0,17433,0,16155,17982,38425,0,37161,15577,9920,3413,17562,19468,3567,19020,,12728,5441,0,4556,,,,,,,,,2089104,2135806,,2184216,,,,,,1981563,1978408,1951738,,,,,,,,,,,,2461837,2462617,,2426120,,,,,,2214979,2195841,,,9687188,7195795,,,,,,,,,4092373,3897792,,4277514,,,,,,3862370,3939328,3780304,,,,,7356630,,,,10403847,10516579,,,7482264,,,8220274,4998482,,4952175,4914361,,10711908,,,8220274,,,,4484902,4484954,,,0,257880,246613,5413541,4242265,4333134,5485855,5478289,4358439,4342333,5362156,,4342333
Senator,N/A,HI,780968,589565,425734,802551,803266,429397,824143,,646555,386418,522125,0,458268,38820,23533,24059,50593,51286,24435,46783,,31984,0,0,19996,0,25130,0,18059,,,,,,,,,266891,306604,,284230,,,,,,,244934,,276316,,,,,,,,,,,366130,,,,,,,,,,,,,120842,75574,87121,149118,152566,89183,93107,138923,,93107,3,33470,17454,8185,34512,32391,8058,41528,,28129,0,0,1755,0,2100,0,2000,128390,2539,0,4224,355816,224039,83020,369956,375003,83620,394102,,264451,137046,0,105218,,,,,,,,,128847,92653,,132077,,,,,,,131719,,112035,,,,,,,,,,,196864,,,,,,,,,,,,,1360301,1056483,,,,,,,,,428937,416562,,431133,,,,,,,390843,,388351,,,,1017749,,,,1422094,1420074,,,1020539,,,1155905,574469,,,,,1455271,,,1155905,,,,,,,,0,272208,199405,309343,269530,262031,312722,306360,260084,275624,314365,,275624
Senator,N/A,IA,64512,44870,35692,92564,97896,38755,96861,,67950,30122,78873,0,56772,113225,64742,75717,149977,156107,77568,172988,,104136,0,0,66534,0,114312,0,86796,,,,,,,,,653669,549461,,661858,,,,,,880531,630987,,,,,,,,,,,,,759061,,754859,,,,,,,,,,,151544,88337,78335,188311,194407,83292,134104,215986,,134104,10,24511,15548,15622,27712,28277,16159,55958,,38717,0,0,7425,0,8055,0,6662,2517,3233,0,5779,3847,2307,1317,6346,6346,1427,10073,,6628,3644,0,3447,,,,,,,,,800982,926007,,804209,,,,,,0,667275,,,,,,,,,,,,,897672,864997,,,,,,,,,,,,3046355,2318362,,,,,,,,,1566028,1541035,,1509254,,,,,,1150899,1327636,,,,,,2321040,,,,3139508,3150011,,,2331851,,,2450103,1690871,,1671828,,,3190369,,,2450103,,,,,,,,0,69541,62774,2701123,2107975,2113460,2690052,2677946,2113100,2093769,2638201,,2093769
Senator,N/A,ID,29698,19532,17517,40745,42595,19106,47513,,32362,11881,23603,0,21008,15940,8196,9043,20453,21346,9810,27645,,16047,0,0,6319,0,10558,0,9946,,,,,,,,,189765,188249,,230077,,,,,,203282,231081,240355,,,,,,,,,,,,287021,,285864,,,,,,,,,,,175901,102786,97378,215476,222967,103602,151700,239407,,151700,3,36385,24049,24045,42129,43642,25018,65552,,45525,0,0,14622,0,18866,0,13935,2735,3235,0,5927,5094,3024,1454,7719,7587,1744,9293,,5726,2611,0,2442,,,,,,,,,409055,449017,,449265,,,,,,384791,361660,356507,,,,,,,,,,,,554119,538446,,,,,,,,,,,,1567582,1138510,,,,,,,,,690433,678943,,710634,,,,,,588074,605131,596862,,,,,1220315,,,,1717750,1754367,,,1255340,,,1376400,867281,,859827,,,1839106,,,1376400,,,,,,,,0,44998,49976,1316243,986529,1068454,1407883,1427529,1093403,1121466,1450523,,1121466
