DRA Office,ID,State,Asian 2010 Total,Asian 2010 VAP,Asian 2019 CVAP,Asian 2019 Total,Asian 2020 ACSTot,Asian 2020 CVAP,Asian 2020 Total,Asian 2020 TotalAdj,Asian 2020 VAP,AsianAlone 2019 CVAP,AsianAlone 2020 ACSTot,AsianAlone 2020 CVAP,AsianAlone 2020 NHVAP,Black 2010 Total,Black 2010 VAP,Black 2019 CVAP,Black 2019 Total,Black 2020 ACSTot,Black 2020 CVAP,Black 2020 Total,Black 2020 TotalAdj,Black 2020 VAP,BlackAlone 2010 Total,BlackAlone 2010 VAP,BlackAlone 2019 CVAP,BlackAlone 2019 Total,BlackAlone 2020 ACSTot,BlackAlone 2020 CVAP,BlackAlone 2020 NHVAP,Dem 2012 Pres,Dem 2012-2020 Comp,Dem 2014 AG,Dem 2014 Gov,Dem 2014 Sen,Dem 2016 AG,Dem 2016 Gov,Dem 2016 LtG,Dem 2016 Pres,Dem 2016 Sen,Dem 2016 SenRoff,Dem 2016-2020 Comp,Dem 2016-2021 Comp,Dem 2017 AG,Dem 2017 Gov,Dem 2017 LtG,Dem 2017 SenSp,Dem 2018 AG,Dem 2018 Gov,Dem 2018 LtG,Dem 2018 Sen,Dem 2018 SenRoff,Dem 2018 SenSp,Dem 2019 AG,Dem 2019 Gov,Dem 2019 GovRoff,Dem 2019 LtG,Dem 2020 AG,Dem 2020 Aud,Dem 2020 Gov,Dem 2020 LtG,Dem 2020 Pres,Dem 2020 Sen,Dem 2020 Sen,Dem 2020 SenSp,Dem 2020 SoS,Dem 2020 Tres,Dem 2021 AG,Dem 2021 Gov,Dem 2021 LtG,Dem 2021 SenRoff,Dem 2021 SenSpRoff,Dem_2018_AG,Dem_2018_Sen,Hispanic 2010 Total,Hispanic 2010 VAP,Hispanic 2019 CVAP,Hispanic 2019 Total,Hispanic 2020 ACSTot,Hispanic 2020 CVAP,Hispanic 2020 NHVAP,Hispanic 2020 Total,Hispanic 2020 TotalAdj,Hispanic 2020 VAP,Label,Native 2010 Total,Native 2010 VAP,Native 2019 CVAP,Native 2019 Total,Native 2020 ACSTot,Native 2020 CVAP,Native 2020 Total,Native 2020 TotalAdj,Native 2020 VAP,NativeAlone 2010 Total,NativeAlone 2010 VAP,NativeAlone 2019 CVAP,NativeAlone 2019 Total,NativeAlone 2020 ACSTot,NativeAlone 2020 CVAP,NativeAlone 2020 NHVAP,OtherAlone 2019 CVAP,OtherAlone 2020 ACSTot,OtherAlone 2020 CVAP,OtherAlone 2020 NHVAP,Pacific 2010 Total,Pacific 2010 VAP,Pacific 2019 CVAP,Pacific 2019 Total,Pacific 2020 ACSTot,Pacific 2020 CVAP,Pacific 2020 Total,Pacific 2020 TotalAdj,Pacific 2020 VAP,PacificAlone 2020 ACSTot,PacificAlone 2020 CVAP,PacificAlone 2020 NHVAP,Rep 2012 Pres,Rep 2012-2020 Comp,Rep 2014 AG,Rep 2014 Gov,Rep 2014 Sen,Rep 2016 AG,Rep 2016 Gov,Rep 2016 LtG,Rep 2016 Pres,Rep 2016 Sen,Rep 2016 SenRoff,Rep 2016-2020 Comp,Rep 2016-2021 Comp,Rep 2017 AG,Rep 2017 Gov,Rep 2017 LtG,Rep 2017 SenSp,Rep 2018 AG,Rep 2018 Gov,Rep 2018 LtG,Rep 2018 Sen,Rep 2018 SenRoff,Rep 2018 SenSp,Rep 2019 AG,Rep 2019 Gov,Rep 2019 GovRoff,Rep 2019 LtG,Rep 2020 AG,Rep 2020 Aud,Rep 2020 Gov,Rep 2020 LtG,Rep 2020 Pres,Rep 2020 Sen,Rep 2020 Sen,Rep 2020 SenSp,Rep 2020 SoS,Rep 2020 Tres,Rep 2021 AG,Rep 2021 Gov,Rep 2021 LtG,Rep 2021 SenRoff,Rep 2021 SenSpRoff,Rep_2018_AG,Rep_2018_Sen,Total 2010 Total,Total 2010 VAP,Total 2012 Pres,Total 2012-2020 Comp,Total 2014 AG,Total 2014 Gov,Total 2014 Sen,Total 2016 AG,Total 2016 Gov,Total 2016 LtG,Total 2016 Pres,Total 2016 Sen,Total 2016 SenRoff,Total 2016-2020 Comp,Total 2016-2021 Comp,Total 2017 AG,Total 2017 Gov,Total 2017 LtG,Total 2017 SenSp,Total 2018 AG,Total 2018 Gov,Total 2018 LtG,Total 2018 Sen,Total 2018 SenRoff,Total 2018 SenSp,Total 2019 AG,Total 2019 CVAP,Total 2019 Gov,Total 2019 GovRoff,Total 2019 LtG,Total 2019 Total,Total 2020 ACSTot,Total 2020 AG,Total 2020 Aud,Total 2020 CVAP,Total 2020 Gov,Total 2020 LtG,Total 2020 NHVAP,Total 2020 Pres,Total 2020 Sen,Total 2020 Sen,Total 2020 SenSp,Total 2020 SoS,Total 2020 Total,Total 2020 TotalAdj,Total 2020 Tres,Total 2020 VAP,Total 2021 AG,Total 2021 Gov,Total 2021 LtG,Total 2021 SenRoff,Total 2021 SenSpRoff,Total_2018_AG,Total_2018_Sen,TwoOrMore 2019 CVAP,TwoOrMore 2020 ACSTot,TwoOrMore 2020 NHVAP,White 2010 Total,White 2010 VAP,White 2019 CVAP,White 2019 Total,White 2020 ACSTot,White 2020 CVAP,White 2020 NHVAP,White 2020 Total,White 2020 TotalAdj,White 2020 VAP
Senator,N/A,IL,668262,495758,408476,808038,828847,420688,875488,,662189,377142,702457,0,596814,1972055,1376017,1365436,1955309,1957092,1363419,1992213,,1468381,0,0,1326306,0,1766586,0,1356415,,,,,,,,,3090729,3012940,,2966528,,,,,,2488326,2479746,,,,,,,,,,,,,3471915,,3278930,,,,,,,,,,,2027215,1304053,1015191,2186387,2190696,1058582,1620312,2337410,,1620312,153,101398,69415,41909,101063,104386,41369,280985,,204938,0,0,12586,0,13301,0,13313,16245,24851,0,31674,13542,9406,2165,15026,16535,2660,16842,,11949,3305,0,2354,,,,,,,,,2146015,2184692,,2133354,,,,,,1944142,1765751,,,,,,,,,,,,,2446891,2319870,,,,,,,,,,,,12824440,9695550,,,,,,,,,5589925,5498006,,5346234,,,,,,4548409,4547542,,,,,,9050125,,,,12770631,12716164,,,9064416,,,9999469,6033438,,5968883,,,12812508,,,9999469,,,,,,,,0,277509,255039,8164395,6507312,6206228,7829850,7737459,6166550,6123548,7472751,,6123548
Senator,N/A,IN,126726,88752,70799,186237,195087,75511,212649,,150219,59986,157076,0,124975,654349,430171,460688,720476,735826,469780,760017,,515080,0,0,432726,0,622317,0,462446,,,,,,994110,1235584,,1033155,1158973,,1151946,,,,,,,,,1023786,,,,,,,1229626,,968094,,1242498,,,,,,,,,,,,,389686,235357,195993,461850,475475,206192,350929,554191,,350929,45,49738,35175,32646,52429,52448,32331,139443,,102224,0,0,10256,0,10363,0,10490,6877,16838,0,15652,6385,4000,1358,7631,7169,1258,12015,,8691,1790,0,1961,,,,,,1643712,1397408,,1557240,1424011,,1497840,,,,,,,,,1158685,,,,,,,1721984,,1706727,,1729857,,,,,,,,,,,,,6483594,4875353,,,,,,2637822,2720338,,2760528,2733628,,2737216,,,,,,,,,2271044,,,,4903119,,,,6665703,6696893,2951610,,4933221,3020322,,5192579,3031256,,,,,6785528,,,5192579,,,,,,,,0,159581,160476,5286357,4097258,4137162,5271071,5253453,4144074,4065650,5121004,,4065650
Senator,N/A,KS,83919,57653,46482,105946,110231,50780,112195,,78934,40220,85734,0,65780,202131,128901,129556,214879,216216,130533,223275,,148173,0,0,117418,0,159797,0,122508,439853,,,,,,,,426982,379721,,476208,,,,,,427166,506504,,,,,,,,,,,,,570320,,571527,,,,,,,,,,,300015,177925,143856,345680,351602,150518,241586,382603,,241586,10,59123,38950,35865,61423,62955,36662,111305,,77897,0,0,14854,0,17788,0,16995,4657,5978,0,6978,4934,2884,1086,6138,6655,1306,7890,,4968,1889,0,2173,689717,,,,,,,,670975,732322,,661389,,,,,,613640,453028,,,,,,,,,,,,,771401,727957,,,,,,,,,,,,2852702,2125881,1157276,,,,,,,,1193610,1178420,,1191735,,,,,,1040806,1054615,,,,,,2084755,,,,2910652,2912619,,,2097018,,,2229316,1372295,,1367747,,,2937880,,,2229316,,,,,,,,0,95843,89314,2230181,1731918,1725618,2208576,2193988,1724073,1683982,2122575,,1683982
Senator,N/A,KY,62029,42411,33987,83733,88096,35432,98763,,68607,27951,67524,0,54971,376213,254615,273628,418010,425351,277397,436059,,299191,0,0,257459,0,356048,0,265961,,,,,,,,,628847,813236,,723188,,,,,,,,,,,,602272,709891,,,,,,,772474,,816257,,,,,,,,,,,132836,82887,58042,162994,167949,61905,133075,207854,,133075,21,31355,23388,22257,33033,32270,22736,91206,,68900,0,0,6639,0,7075,0,6657,4576,9350,0,8970,5111,3080,1467,6300,5425,1317,8449,,5751,2691,0,2391,,,,,,,,,1202957,1090163,,1064826,,,,,,,,,,,,823346,704754,,,,,,,1326646,1233315,,,,,,,,,,,,4339364,3315993,,,,,,,,,1923375,1903399,,1822791,,,,,,,,,,,,1425618,3349124,1443078,,,4449052,4461952,,,3362397,,,3483900,2135436,,2134958,,,4505836,,,3483900,,,,,,,,0,99577,106330,3745652,2917516,2956663,3761855,3751738,2961239,2905545,3664764,,2905545
Senator,N/A,LA,84335,62025,47444,98019,99667,49799,111836,,82947,42383,79976,0,67983,1486802,1040219,1105401,1556081,1560682,1110158,1543119,,1115769,0,0,1090938,0,1489071,0,1066511,,,,,,,,,780154,695288,347816,687481,,,,,,,,,,,,436502,636963,774498,413556,,,,,856034,,730989,,,,,,,,,,,192560,138091,104744,239164,243372,109085,223662,322549,,223662,21,55079,38189,35969,59834,60705,37612,103128,,74905,0,0,18364,0,23328,0,19531,5854,12922,0,11524,4879,3278,722,4797,5036,936,6100,,4160,1527,0,1322,,,,,,,,,1178638,1185889,536191,1071794,,,,,,,,,,,,855366,696434,734286,884309,,,,,1255776,1267291,,,,,,,,,,,,4533289,3415316,,,,,,,,,2029032,1933635,884007,1795679,,,,,,,,,,,,1291868,3459409,1343481,1508784,1297865,4664362,4664616,,,3467793,,,3570548,2148062,,2071543,,,4657757,,,3570548,,,,,,,,0,93782,97905,2734884,2147661,2162799,2735887,2720638,2158930,2082110,2596702,,2082110
Senator,N/A,MA,394211,293091,250151,516599,538409,259159,582484,,448120,229929,462831,0,407742,508413,353946,329573,643622,662313,341158,669866,,486313,0,0,304747,0,466288,0,351465,,,,1004408,1289945,,,,1995050,,,1854581,,,,,,1874027,885727,,1633242,,,,,,,,,,,2382043,,2357652,,,,,,,,,,,627654,416775,427644,809179,828140,443162,621508,887685,,621508,45,50705,35605,24563,48528,52168,25104,94040,,69936,0,0,7905,0,8943,0,7430,7895,53983,0,68601,10257,7243,1677,10355,11593,1921,10436,,7785,2327,0,1391,,,,1044572,791951,,,,1090758,,,1166627,,,,,,804758,1781128,,979085,,,,,,,,,,,1167119,1177682,,,,,,,,,,,,6547629,5128706,,,,2065276,2081894,,,,3324751,,,3091247,,,,,,2680643,2674359,,2706826,,,,4992509,,,,6850553,6873003,,,5030884,,,5663723,3631159,,3563896,,,7029917,,,5663723,,,,,,,,0,185469,216601,4984800,4029458,3954282,4903539,4865022,3955451,3988985,4748897,,3988985
Senator,N/A,MD,369901,272903,235465,449579,463308,243609,502173,502844,376559,215313,382027,0,332666,1783842,1293080,1321414,1916619,1937445,1338145,1977453,1964359,1492989,0,0,1288414,0,1773702,0,1388741,,,,,,,,,1677928,1659907,,1548502,,,,,,1474833,1002639,,1491614,,,,,,,,,,,1985023,,,,,,,,,,,,,470541,322227,222389,606482,619418,241096,492262,729745,729673,492262,36,58653,41216,29961,61785,64146,29860,128650,116744,93633,0,0,9865,0,11223,0,9788,16756,24269,0,23196,9821,6767,1626,12039,11335,1616,11440,11029,7849,1954,0,2035,,,,,,,,,943169,972557,,943248,,,,,,799035,1275644,,697017,,,,,,,,,,,976411,,,,,,,,,,,,,5772142,4419249,,,,,,,,,2781446,2726170,,2566620,,,,,,2275788,2304512,,2299889,,,,4280319,,,,6018848,6037624,,,4313314,,,4815202,3037028,,,,,6177224,6175403,,4815202,,,,,,,,0,196537,165154,3156847,2528438,2460841,3062363,3028494,2448900,2401360,2913782,2913263,2401360
Senator,N/A,ME,18333,12123,10934,22658,23244,11738,25473,,18011,7934,15157,0,13336,21764,11396,10498,26929,27832,10890,36304,,21960,0,0,7713,0,17761,0,16551,,,,,,,,,357735,,,354513,,,,,,,320962,,66268,,,,,,,,,,,435070,,347241,,,,,,,,,,,16935,10525,13700,22100,23143,14311,17656,26609,,17656,3,18482,13177,14624,22920,23349,14916,33502,,24805,0,0,5929,0,8011,0,5603,1261,2283,0,3365,988,629,221,1695,1460,124,1619,,1148,159,0,332,,,,,,,,,335593,,,345628,,,,,,,272311,,223501,,,,,,,,,,,360767,417642,,,,,,,,,,,,1328361,1053828,,,,,,,,,747935,,,742383,,,,,,,630693,,634036,,,,1064754,,,,1335492,1340825,,,1070545,,,1110085,819369,,818970,,,1362359,,,1110085,,,,,,,,0,32198,35738,1254297,1007023,1013879,1244531,1242113,1017870,1017504,1228264,,1017504
Senator,N/A,MI,289542,201741,166236,377181,390937,175580,411928,,300440,144327,314736,0,258756,1505488,1045520,1052490,1519461,1524001,1055583,1544122,,1111506,0,0,1006498,0,1342592,0,1021516,,,,,,,,,2268839,,,2384959,,,,,,2031117,2266193,,2214478,,,,,,,,,,,2804036,,2734558,,,,,,,,,,,436358,264511,250673,507353,521203,264972,367645,564422,,367645,91,139092,93900,86859,147844,148080,88676,246458,,178471,0,0,35015,0,42931,0,36450,13282,27247,0,25724,9348,6050,1995,10282,10109,2118,11255,,7503,2675,0,1985,,,,,,,,,2279543,,,2213134,,,,,,1916117,1859534,,1938817,,,,,,,,,,,2649859,2642221,,,,,,,,,,,,9883371,7539305,,,,,,,,,4799284,,,4727582,,,,,,4142043,4245920,,4237250,,,,7495888,,,,9965265,9973907,,,7528663,,,7914602,5538208,,5479685,,,10077331,,,7914602,,,,,,,,0,293901,273730,7569764,5960525,5932585,7477400,7428622,5937381,5928796,7295651,,5928796
Senator,N/A,MN,247132,160148,151140,316790,330738,162671,357704,,241531,136825,273100,0,214681,327548,195404,211906,428937,447354,222129,483646,,298786,0,0,189843,0,354540,0,257353,,,1014712,989111,1053203,,,,1367710,,,1475215,,,,,,1249405,1393094,,1566171,,1370538,,,,,,,,,1717075,,1566521,,,,,,,,,,,250258,148836,114964,299556,307675,126049,218767,345640,,218767,36,101900,63924,60607,108322,110783,61503,157651,,104347,0,0,36443,0,48409,0,39560,7377,17494,0,14680,6206,3817,1343,8194,7593,1390,9387,,6091,1905,0,1861,,,752539,879253,850224,,,,1322947,,,1232550,,,,,,1150458,1097704,,940436,,1095775,,,,,,,,,1484061,1398141,,,,,,,,,,,,5303874,4019813,,,1824853,1925264,1933112,,,,2944802,,,2853895,,,,,,2551769,2587284,,2596875,,2587352,,4069715,,,,5563378,5600166,,,4113379,,,4389033,3277165,,3214251,,,5706494,,,4389033,,,,,,,,0,174553,133078,4405091,3462595,3525490,4442126,4422490,3535145,3509053,4353880,,3509053
Senator,N/A,MO,123499,87581,68212,155191,161495,73509,179336,,129505,57278,122506,0,104558,747457,511181,528952,779871,784331,533037,798623,,562207,0,0,505970,0,692510,0,514169,,,,,,1140252,1277360,1168947,1071068,1300200,,1172472,,,,,,,,,1112935,,,,,,,1117713,,1225771,1150231,1253014,,,,1081113,1122547,,,,,,,,212462,131804,118607,254791,262677,127593,197173,303068,,197173,36,72376,51771,50936,81120,82267,51550,183435,,135751,0,0,19156,0,20646,0,18642,8679,12840,0,14896,11296,6916,3224,14161,13701,3408,17870,,11326,7876,0,6340,,,,,,1607550,1433397,1459392,1594511,1378458,,1567489,,,,,,,,,1254927,,,,,,,1752792,,1720202,1731263,1718736,,,,1798505,1742943,,,,,,,,5988371,4563021,,,,,,2747802,2803018,2764082,2801449,2802546,,2822869,,,,,,,,,2442282,,,,4603750,,,,6104910,6124160,2951605,,4630114,3012274,2963466,4775612,3025157,,,,2972483,6154913,,2949212,4775612,,,,,,,,0,178162,196192,4850288,3788903,3828734,4849901,4826943,3836442,3723642,4663907,,3723642
Senator,N/A,MS,32560,23256,17750,38321,39237,18017,44931,,32717,15030,29561,0,25718,1115801,773735,826372,1148334,1149098,828757,1123613,,823080,0,0,819961,0,1118689,0,799388,,,,,,,,,485131,,,395935,,,,,,,,,369567,420819,400594,370068,414368,,349627,,,,,539398,,578691,,,,,,,,,,,81481,54977,37695,91202,94342,41685,68637,105220,,68637,10,25910,17878,15832,25253,24230,16268,53729,,39081,0,0,9469,0,12897,0,9701,2433,5139,0,4638,2776,1856,510,2742,3110,906,3235,,2214,1090,0,767,,,,,,,,,700714,,,520867,,,,,,,,,547619,486769,544873,507468,459396,,524757,,,,,756764,709511,,,,,,,,,,,,2967297,2211742,,,,,,,,,1209357,,,926342,,,,,,,,,936215,907588,945467,877536,2232390,884911,,874384,2984418,2981835,,,2238102,,,2277599,1313759,,1311354,,,2961279,,,2277599,,,,,,,,0,39179,53299,1722287,1348246,1333089,1689927,1680938,1331584,1315451,1639077,,1315451
Senator,N/A,MT,20964,14112,14070,29380,31244,14785,33778,32852,23110,9992,17054,0,13332,15834,8184,10292,22556,24062,10849,25474,24276,14884,0,0,6636,0,9862,0,7562,,,,,,317940,511866,,355418,,,481622,,,,,,,,,253876,,,,,,,494050,465268,501720,,489572,272463,272463,,479234,,,,,,,,253876,57130,34840,47276,80628,83002,50618,59816,90398,90332,59816,4,157202,99852,105736,173636,175126,107622,201156,195206,132268,0,0,82754,0,125440,0,85434,2286,3326,0,6652,3464,2118,1060,5556,5518,917,6202,5828,3936,1104,0,1284,,,,,,665532,472230,,558480,,,622112,,,,,,,,,235963,,,,,,,696644,653484,657096,,687204,333174,333174,,705878,,,,,,,,235963,1978830,1531704,,,,,,983472,1018720,,989052,,,1129166,,,,,,,,,504384,,,,1625138,,,,2101298,2123410,1190694,1181286,1647530,1207174,,1700246,1207280,605637,605637,,1185112,2168450,2165434,,1700246,,,,,,,504384,0,66058,71060,1737256,1378376,1444928,1809100,1817564,1460604,1455106,1802636,1800490,1455106
Senator,N/A,NC,252585,175080,155182,355907,377854,165584,425449,,302405,137163,306140,0,257602,2151456,1535515,1681775,2360234,2392742,1705231,2344553,,1743052,0,0,1634779,0,2182623,0,1620569,,,,,1370302,2303419,2308957,2093180,2189106,2127968,,2520373,,,,,,,,,,,,,,,,2713204,2729982,2834591,2623265,2684098,,2569778,,2755373,2536830,,,,,,,,800120,492330,313349,962665,991051,342457,724311,1118596,,724311,105,184082,126821,126802,204106,208642,129308,318279,,231359,0,0,86079,0,108223,0,77335,17794,30335,0,30113,14774,9097,3763,18280,19899,4295,20957,,14011,6249,0,5144,,,,,1416834,2278985,2298851,2393490,2362610,2395348,,2578164,,,,,,,,,,,,,,,,2699744,2635789,2586571,2800618,2758731,2665560,,,2630524,2812761,,,,,,,,9535483,7253848,,,,,2895916,4582404,4710780,4619312,4741328,4690901,,5216006,,,,,,,,,,,,,7515070,,,,10264876,10386227,5412948,5365771,7636549,5502540,5423883,8155099,5524566,,5474716,,5385897,10439388,,5349591,8155099,,,,,,,,0,258314,250392,6223995,4964325,5229359,6474688,6503292,5284205,5189633,6312148,,5189633
Senator,N/A,ND,9193,6752,5235,15471,16362,5467,18675,,13192,3672,11831,0,10252,11086,6273,12010,26761,28675,11967,34499,,21444,0,0,10758,0,23459,0,17608,,,,,,,65855,,93758,58116,,98083,,,,,,,,,,,,,,,,,111397,90925,,115042,,,,,117939,,,,,,102869,144376,13467,8064,15533,28317,30325,16389,21603,33412,,21603,1,42996,26656,29491,50119,50939,29672,55777,,35031,0,0,24425,0,37170,0,24119,757,1220,0,1284,782,475,631,1778,1781,698,2086,,1361,983,0,643,,,,,,,259863,,216794,268788,,225714,,,,,,,,,,,,,,,,,234447,235629,,235751,,,,,227746,,,,,,215633,179720,672591,522720,,,,,,,339601,,344360,342501,,337384,,,,,,,,,,,,,564515,,,,756717,760394,,346370,564937,357859,,596093,362024,,,,,779094,,347165,596093,,,,,,319217,326138,0,19122,17431,598007,475686,501153,638985,636284,500440,503153,636160,,503153
Senator,N/A,NE,40561,27483,22313,58983,62516,24065,69006,,47344,18098,47539,0,38794,98959,60879,63151,115778,117761,63452,124773,,78652,0,0,57472,0,89744,0,66088,,,,,,,,,284494,,,287314,,,,,,0,286169,,269917,,,,,,,,,,,374583,,227191,,,,,,,,,,,167405,98221,81317,208271,214952,85077,145297,234715,,145297,6,29816,17764,16405,32827,33736,16936,55260,,35664,0,0,9250,0,13378,0,10112,2398,2602,0,4314,2823,1711,856,3365,3735,889,4069,,2627,1051,0,942,,,,,,,,,495961,,,477990,,,,,,516777,411812,,403151,,,,,,,,,,,556846,583507,,,,,,,,,,,,1826110,1366889,,,,,,,,,828176,,,785004,,,,,,516777,697981,,698417,,,,1366070,,,,1914571,1923826,,,1373650,,,1476127,951712,,865813,,,1961504,,,1476127,,,,,,,,0,47433,41325,1499522,1166725,1180940,1512111,1507127,1181634,1169255,1484687,,1169255
Senator,N/A,NH,34522,23669,20409,46317,47713,22581,46861,,33822,16654,36398,0,27989,21736,12800,14137,30753,32277,14980,32998,,21772,0,0,11265,0,18343,0,13858,,,,,,,337589,,348526,354649,,351242,,,,,,,262359,,,,,,,,,,,264639,,424937,,450778,,,,,,,,,,,36704,22934,28293,50493,52792,29572,39800,59454,,39800,3,10524,7534,7694,11005,10734,7606,25468,,19304,0,0,1451,0,1895,0,1930,1136,2042,0,4443,1160,757,293,1507,1579,255,1792,,1215,320,0,303,,,,,,,354040,,345790,353632,,404002,,,,,,,302764,,,,,,,,,,,516609,,365660,326229,,,,,,,,,,,,1316470,1029236,,,,,,,724863,,744296,739140,,777313,,,,,,,573602,,,,,,1055455,,,,1348124,1355244,,,1065290,793260,,1120680,803833,,795914,,,1377529,,,1120680,,,,,,,,0,29425,36606,1215050,962931,983910,1214927,1214029,989519,995751,1200649,,995751
Senator,N/A,NJ,795163,586456,456605,923811,948998,470286,1046732,1046866,793878,438364,851568,0,740609,1300363,932595,841116,1318289,1335434,846863,1413772,1406392,1057822,0,0,813766,0,1121134,0,896947,,,,,,,,,2148278,,,,1947894,,1203115,,,,,,1711654,,,,,,,,,,,2608335,,2541178,,,,,1339471,,,,,,1555144,1094143,906322,1794736,1815078,936250,1435999,2002575,2001337,1435999,78,70716,49530,23359,61399,64849,23194,147877,147865,107657,0,0,7326,0,10290,0,8209,13547,42308,0,48057,12999,9461,1639,11996,11376,1689,14621,14619,10802,2122,0,1586,,,,,,,,,1601933,,,,1527903,,899606,,,,,,1357355,,,,,,,,,,,1883274,1817052,,,,,,1255185,,,,,,8791894,6726680,,,,,,,,,3874046,,,,3537234,,2147443,,,,,,3169310,,,,6132295,,,,8878503,8885418,,,6156299,,,7281310,4549353,,4440440,,,9288994,9283016,,7281310,,2614886,,,,,,0,184111,183507,5214878,4149566,3894871,4916380,4858807,3868821,3966396,4816381,4814558,3966396
